,name,epochs,dropout,optimizer,activation,batch_size,initializer,learning_rate,layer_size_hl1,layer_size_hl2,layer_size_hl3,layer_size_hl4,layer_size_hl5,optmizer,layerSizeH1,layerSizeHl1,layerSizeHl2,layer_size,channels_one,channels_two,initializer,layer_size_hl2,_timestamp,id,dropout,_runtime,accuracy,optimizer,epochs,best_epoch,layer_size_hl1,batch_size,val_accuracy,best_val_loss,loss,_step,epoch,val_loss,activation,learning_rate,layer_size_hl3,graph,layer_syze_hl3,layer_syze_hl1,layer_syze_hl2,val_categorical_crossentropy,categorical_crossentropy,layer_syze_hl4,layer_syze_hl5,layer_syze
15,clear-sweep-17,25,0.4,rmsprop,relu,96.0,he_normal,0.0017492819125486142,20,28,17,,,,,,,,,,he_normal,28.0,1612389811.0,97a5d60c,0.4,29.0,0.9096527695655824,rmsprop,25,22.0,20.0,96.0,0.912500023841858,0.21110643446445465,0.21592745184898376,25.0,24.0,0.212509423494339,relu,0.0017492819125486142,17.0,,,,,,,,,
16,chocolate-sweep-16,14,0.3,rmsprop,relu,64.0,he_normal,0.0019369930876895424,6,24,8,,,,,,,,,,he_normal,24.0,1612389754.0,7721a6a8,0.3,27.0,0.8958333134651184,rmsprop,14,13.0,6.0,64.0,0.894861102104187,0.24347041547298431,0.24596834182739255,14.0,13.0,0.24347041547298431,relu,0.0019369930876895424,8.0,,,,,,,,,
17,woven-sweep-15,25,0.3,rmsprop,relu,32.0,he_normal,0.0013226142718312925,15,20,13,,,,,,,,,,he_normal,20.0,1612389698.0,3a6007bf,0.3,73.0,0.9116666913032532,rmsprop,25,23.0,15.0,32.0,0.9098610877990724,0.2145642191171646,0.2122627943754196,25.0,24.0,0.216658815741539,relu,0.0013226142718312925,13.0,,,,,,,,,
18,unique-sweep-14,19,0.3,rmsprop,relu,64.0,he_normal,0.0016860210412973468,25,16,25,,,,,,,,,,he_normal,16.0,1612389597.0,16a59216,0.3,32.0,0.9117013812065125,rmsprop,19,18.0,25.0,64.0,0.9097222089767456,0.20794734358787537,0.20833289623260495,19.0,18.0,0.20794734358787537,relu,0.0016860210412973468,25.0,,,,,,,,,
19,deep-sweep-13,24,0.3,rmsprop,relu,32.0,he_normal,0.0009735491067537062,17,19,23,,,,,,,,,,he_normal,19.0,1612389535.0,da09d05f,0.3,72.0,0.9107638597488404,rmsprop,24,21.0,17.0,32.0,0.9138888716697692,0.2006441354751587,0.2099166065454483,24.0,23.0,0.2042096108198166,relu,0.0009735491067537062,23.0,,,,,,,,,
20,sweet-grass-2911,15,0.4,rmsprop,relu,32.0,he_normal,0.001,12,12,12,,,,,,,,,,he_normal,12.0,1612387962.0,3e53deae,0.4,48.0,0.9072916507720948,rmsprop,15,14.0,12.0,32.0,0.9061111211776732,0.2607671022415161,0.2569628655910492,15.0,14.0,0.2607671022415161,relu,0.001,12.0,,,,,,,,,
21,super-sweep-12,13,0.3,rmsprop,relu,128.0,he_normal,0.001069618096446622,9,27,16,,,,,,,,,,he_normal,27.0,1612375114.0,67d881df,0.3,16.0,0.8994791507720947,rmsprop,13,12.0,9.0,128.0,0.8922222256660461,0.2843096852302551,0.28086498379707336,13.0,12.0,0.2843096852302551,relu,0.001069618096446622,16.0,,,,,,,,,
22,glamorous-sweep-11,25,0.4,rmsprop,relu,196.0,he_normal,0.0011472492930183118,29,8,20,,,,,,,,,,he_normal,8.0,1612375067.0,49f1a9d7,0.4,19.0,0.907812476158142,rmsprop,25,24.0,29.0,196.0,0.9097222089767456,0.2595577538013458,0.2639400362968445,25.0,24.0,0.2595577538013458,relu,0.0011472492930183118,20.0,,,,,,,,,
23,sage-sweep-10,16,0.4,rmsprop,relu,64.0,he_normal,0.0012069077527108356,26,7,14,,,,,,,,,,he_normal,7.0,1612375016.0,259a3d67,0.4,29.0,0.8540624976158142,rmsprop,16,15.0,26.0,64.0,0.8620833158493042,0.27486300468444824,0.2850835621356964,16.0,15.0,0.27486300468444824,relu,0.0012069077527108356,14.0,,,,,,,,,
24,cosmic-sweep-9,27,0.4,rmsprop,relu,128.0,he_normal,0.0010624169262134836,28,24,25,,,,,,,,,,he_normal,24.0,1612374958.0,048eaa0a,0.4,26.0,0.9065277576446532,rmsprop,27,23.0,28.0,128.0,0.9086111187934875,0.23484455049037933,0.23853076994419095,27.0,26.0,0.2392113208770752,relu,0.0010624169262134836,25.0,,,,,,,,,
25,electric-sweep-8,21,0.2,rmsprop,relu,128.0,he_normal,0.000912357282009167,8,12,16,,,,,,,,,,he_normal,12.0,1612374903.0,e6b479db,0.2,21.0,0.8970833420753479,rmsprop,21,18.0,8.0,128.0,0.8974999785423279,0.26273512840270996,0.2661895155906677,21.0,20.0,0.26567357778549194,relu,0.000912357282009167,16.0,,,,,,,,,
26,lilac-sweep-7,8,0.3,rmsprop,relu,128.0,he_normal,0.0015611207787793158,27,27,28,,,,,,,,,,he_normal,27.0,1612374854.0,cf23cde9,0.3,12.0,0.9097916483879088,rmsprop,8,6.0,27.0,128.0,0.9084722399711608,0.24027353525161743,0.23688580095767975,8.0,7.0,0.24239227175712583,relu,0.0015611207787793158,28.0,,,,,,,,,
27,fragrant-sweep-6,19,0.3,rmsprop,relu,64.0,he_normal,0.0005847367213546485,15,23,7,,,,,,,,,,he_normal,23.0,1612374815.0,ab3bc9d5,0.3,33.0,0.8947569727897644,rmsprop,19,18.0,15.0,64.0,0.887499988079071,0.2674773037433624,0.26521486043930054,19.0,18.0,0.2674773037433624,relu,0.0005847367213546485,7.0,,,,,,,,,
28,rosy-sweep-5,10,0.4,rmsprop,relu,196.0,he_normal,0.0008352477847251537,27,9,16,,,,,,,,,,he_normal,9.0,1612374753.0,939a99d1,0.4,11.0,0.8356597423553467,rmsprop,10,9.0,27.0,196.0,0.8369444608688354,0.31421175599098206,0.31398913264274597,10.0,9.0,0.31421175599098206,relu,0.0008352477847251537,16.0,,,,,,,,,
29,cosmic-sweep-4,8,0.3,rmsprop,relu,160.0,he_normal,0.0006927233822998271,27,6,21,,,,,,,,,,he_normal,6.0,1612374714.0,7c8fe472,0.3,10.0,0.904652774333954,rmsprop,8,7.0,27.0,160.0,0.9026389122009276,0.30007410049438477,0.29414620995521545,8.0,7.0,0.30007410049438477,relu,0.0006927233822998271,21.0,,,,,,,,,
30,clear-sweep-3,13,0.3,rmsprop,relu,32.0,he_normal,0.001758694810877088,10,6,23,,,,,,,,,,he_normal,6.0,1612374674.0,52922761,0.3,41.0,0.8870139122009277,rmsprop,13,12.0,10.0,32.0,0.8849999904632568,0.2966693341732025,0.2956917881965637,13.0,12.0,0.2966693341732025,relu,0.001758694810877088,23.0,,,,,,,,,
31,rare-sweep-2,27,0.2,rmsprop,relu,96.0,he_normal,0.0009728629925217956,24,17,30,,,,,,,,,,he_normal,17.0,1612374605.0,2ef4b227,0.2,32.0,0.9090277552604676,rmsprop,27,26.0,24.0,96.0,0.9065277576446532,0.22127115726470947,0.22049061954021457,27.0,26.0,0.22127115726470947,relu,0.0009728629925217956,30.0,,,,,,,,,
32,dutiful-sweep-1,6,0.2,rmsprop,relu,32.0,,0.0007542001794293971,6,16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,different-meadow-2848,10,0.4,rmsprop,relu,32.0,he_normal,0.001,20,30,20,,,,,,,,,,he_normal,30.0,1612312970.0,ab629bcf,0.4,35.0,0.835277795791626,rmsprop,10,7.0,20.0,32.0,0.8387500047683716,0.264042466878891,0.27616938948631287,10.0,9.0,0.27193430066108704,relu,0.001,20.0,,,,,,,,,
34,northern-sun-2847,10,0.3,rmsprop,relu,32.0,he_normal,0.001,30,30,30,,,,,,,,,,he_normal,30.0,1612312119.0,b1513ab1,0.3,33.0,0.9080902934074402,rmsprop,10,8.0,30.0,32.0,0.9054166674613952,0.2092285603284836,0.20901714265346527,10.0,9.0,0.21564646065235135,relu,0.001,30.0,,,,,,,,,
35,hardy-monkey-2846,10,0.3,rmsprop,relu,32.0,he_normal,0.001,12,12,12,,,,,,,,,,he_normal,12.0,1612312030.0,7acc7e0f,0.3,35.0,0.9016319513320924,rmsprop,10,9.0,12.0,32.0,0.902222216129303,0.233922079205513,0.2393013536930084,10.0,9.0,0.233922079205513,relu,0.001,12.0,,,,,,,,,
36,laced-sun-2845,10,0.3,rmsprop,relu,32.0,he_normal,0.001,18,24,18,,,,,,,,,,he_normal,24.0,1612311907.0,31220647,0.3,36.0,0.9099305272102356,rmsprop,10,9.0,18.0,32.0,0.9134722352027892,0.21402299404144287,0.21446527540683744,10.0,9.0,0.21402299404144287,relu,0.001,18.0,,,,,,,,,
37,exalted-moon-2844,10,0.3,rmsprop,relu,32.0,he_normal,0.001,19,24,25,,,,,,,,,,he_normal,24.0,1612311785.0,e7ddcec5,0.3,37.0,0.9077777862548828,rmsprop,10,9.0,19.0,32.0,0.9084722399711608,0.2157563120126724,0.2188059538602829,10.0,9.0,0.2157563120126724,relu,0.001,25.0,,,,,,,,,
38,faithful-water-2843,10,0.3,rmsprop,relu,32.0,he_normal,0.001,19,24,25,,,,,,,,,,he_normal,24.0,1612310991.0,0fd69d23,0.3,35.0,0.909166693687439,rmsprop,10,9.0,19.0,32.0,0.918055534362793,0.20312729477882385,0.20890268683433533,10.0,9.0,0.20312729477882385,relu,0.001,25.0,,,,,,,,,
39,swept-terrain-2842,10,0.3,rmsprop,relu,32.0,he_normal,0.001,19,24,25,,,,,,,,,,he_normal,24.0,1612310889.0,b86e8e3b,0.3,80.0,0.6674218773841858,rmsprop,10,9.0,19.0,32.0,0.66776043176651,0.7689380645751953,0.7746038436889648,10.0,9.0,0.7689380645751953,relu,0.001,25.0,,,,,,,,,
40,bright-glade-2792,10,0.4,rmsprop,relu,32.0,he_normal,0.001,30,20,10,,,,,,,,,,he_normal,20.0,1612260493.0,7c1fbd3d,0.4,37.0,0.9120833277702332,rmsprop,10,9.0,30.0,32.0,0.9079166650772096,0.2225482314825058,0.2197342962026596,10.0,9.0,0.2225482314825058,relu,0.001,10.0,,,,,,,,,
41,valiant-sweep-22,19,0.1,rmsprop,relu,32.0,he_normal,0.0017214703467449551,23,25,8,,,,,,,,,,he_normal,25.0,1612025622.0,95dc8c29,0.1,57.0,0.874965250492096,rmsprop,19,18.0,23.0,32.0,0.8733333349227905,0.2800202965736389,0.2762250602245331,19.0,18.0,0.2800202965736389,relu,0.0017214703467449551,8.0,,,,,,,,,
42,devout-sweep-21,24,0.2,rmsprop,relu,32.0,he_normal,0.001989230782895388,20,24,9,,,,,,,,,,he_normal,24.0,1612025534.0,59953af3,0.2,70.0,0.8728125095367432,rmsprop,24,17.0,20.0,32.0,0.8694444298744202,0.2676136791706085,0.27881598472595215,24.0,23.0,0.27929016947746277,relu,0.001989230782895388,9.0,,,,,,,,,
43,happy-sweep-20,30,0.1,rmsprop,relu,32.0,he_normal,0.0016599730202205244,29,22,9,,,,,,,,,,he_normal,22.0,1612025433.0,10d8e742,0.1,91.0,0.8721874952316284,rmsprop,30,26.0,29.0,32.0,0.8688889145851135,0.26424694061279297,0.2774982154369354,30.0,29.0,0.2755458354949951,relu,0.0016599730202205244,9.0,,,,,,,,,
44,lunar-sweep-19,24,0.1,rmsprop,relu,96.0,he_normal,0.001852559208641406,25,13,10,,,,,,,,,,he_normal,13.0,1612025307.0,ea7a7ae4,0.1,29.0,0.8686110973358154,rmsprop,24,22.0,25.0,96.0,0.8673611283302307,0.2964313328266144,0.30628103017807007,24.0,23.0,0.30423200130462646,relu,0.001852559208641406,10.0,,,,,,,,,
45,divine-sweep-18,23,0.1,rmsprop,relu,64.0,he_normal,0.0016132473825749302,30,20,9,,,,,,,,,,he_normal,20.0,1612025248.0,c078d930,0.1,41.0,0.8811805844306946,rmsprop,23,22.0,30.0,64.0,0.8729166388511658,0.27828800678253174,0.26657330989837646,23.0,22.0,0.27828800678253174,relu,0.0016132473825749302,9.0,,,,,,,,,
46,swift-sweep-17,26,0.2,rmsprop,relu,32.0,he_normal,0.0016138106174787457,16,27,8,,,,,,,,,,he_normal,27.0,1612025181.0,813c7cf6,0.2,80.0,0.8803472518920898,rmsprop,26,21.0,16.0,32.0,0.8818055391311646,0.27070343494415283,0.267288476228714,26.0,25.0,0.2715090811252594,relu,0.0016138106174787457,8.0,,,,,,,,,
47,helpful-sweep-16,30,0.3,rmsprop,relu,64.0,he_normal,0.001784416890509396,20,25,8,,,,,,,,,,he_normal,25.0,1612025069.0,50ab2f72,0.3,49.0,0.8552777767181396,rmsprop,30,27.0,20.0,64.0,0.8613888621330261,0.27326345443725586,0.34196868538856506,30.0,29.0,0.3360421359539032,relu,0.001784416890509396,8.0,,,,,,,,,
